AREAID,Long_,Lat,response_r,accept_r,rev_rating,price_pp,room_type,num_spots,poverty,crowded,dependency,without_hs,unemployed,income_pc,harship_in,num_crimes,num_theft,population
35,-87.61867772,41.83511834,98.771429,94.514286,87.777778,78.157895,1.789474,38,29.6,1.8,30.7,14.3,18.2,23791,47,5013,1241,18238
36,-87.60321641,41.82375035,99.2,90.105263,88.8125,53.775,1.85,20,39.7,1.3,40.4,18.4,28.7,19252,78,1306,311,5918
37,-87.63242457,41.80908549,68,75,91.75,84,1.833333,6,51.2,3.2,44.9,26.6,33.9,10432,97,1764,383,2876
38,-87.61785969,41.81294936,94.037037,83.615385,92.75,119.533333,1.533333,30,29.3,3.3,39.5,15.9,24.3,23472,57,6416,1428,21929
39,-87.59618358,41.80891637,92.542857,88.142857,90.65625,77.991453,1.615385,39,21.7,2.4,35.4,11.3,15.7,35911,26,2713,654,17841
4,-87.68751544,41.97517153,90.009901,87.896907,95.241758,80.188258,1.436364,110,10.9,3.4,25.5,13.4,8.2,37524,17,3670,1014,39493
40,-87.61793123,41.79235757,100,97.333333,94.333333,115.75,1.75,4,42.1,5.6,42.8,25.4,28.6,13785,88,5433,823,11717
41,-87.59231092,41.79409031,92.495049,89.93,90.516854,79.319681,1.587156,109,18.4,1.5,26.2,4.3,8.4,39056,14,3031,996,25681
42,-87.59492536,41.77887641,91.090909,96.9,93.388889,71.458333,1.958333,24,30.7,2.9,36.1,16.5,23.4,18672,58,7585,1175,25983
1,-87.67016729,42.00962338,95.825,88.810345,93.990196,58.673885,1.645669,127,23.6,7.7,27.5,18.2,8.7,23939,39,7181,1729,54991
11,-87.77116692,41.97882998,99.25,95.75,91.857143,64.075,1.5,10,8.6,2.7,35.5,13.4,12.4,27751,25,2222,568,25448
12,-87.75835629,41.99393065,100,100,98.5,70,2,2,7.5,1.1,40.5,4.9,6.8,44164,11,979,257,18508
13,-87.72358282,41.98363646,84.8,69.4,94.4,74.910714,1.285714,7,13.2,3.9,39,14.4,9.9,26576,33,1777,537,17931
14,-87.72155978,41.96806847,93.702703,88.225806,92.903226,60.482292,1.7,40,19.2,11.3,32,32.9,10,21323,53,4896,1081,51542
15,-87.76339991,41.95402816,93.777778,86.518519,92.695652,71.050287,1.724138,29,11.6,4.1,34,19.3,12.6,24336,35,6697,1552,64124
